ID,Accession,Cited reference
mmu-mir-3547,MI0022813,PMID:22955976
mmu-mir-6769b,MI0022917,PMID:22955976
mmu-mir-6896,MI0022743,PMID:22955976
mmu-mir-6897,MI0022744,PMID:22955976
mmu-mir-6898,MI0022745,PMID:22955976
mmu-mir-6899,MI0022746,PMID:22955976
mmu-mir-6900,MI0022747,PMID:22955976
mmu-mir-6901,MI0022748,PMID:22955976
mmu-mir-6902,MI0022749,PMID:22955976
mmu-mir-6903,MI0022750,PMID:22955976
mmu-mir-6904,MI0022751,PMID:22955976
mmu-mir-6905,MI0022752,PMID:22955976
mmu-mir-6906,MI0022753,PMID:22955976
mmu-mir-6907,MI0022754,PMID:22955976
mmu-mir-6908,MI0022755,PMID:22955976
mmu-mir-6909,MI0022756,PMID:22955976
mmu-mir-6910,MI0022757,PMID:22955976
mmu-mir-6911,MI0022758,PMID:22955976
mmu-mir-6912,MI0022759,PMID:22955976
mmu-mir-6913,MI0022760,PMID:22955976
mmu-mir-6914,MI0022761,PMID:22955976
mmu-mir-6915,MI0022762,PMID:22955976
mmu-mir-6916,MI0022763,PMID:22955976
mmu-mir-6917,MI0022764,PMID:22955976
mmu-mir-6918,MI0022765,PMID:22955976
mmu-mir-6919,MI0022766,PMID:22955976
mmu-mir-6920,MI0022767,PMID:22955976
mmu-mir-6921,MI0022768,PMID:22955976
mmu-mir-6922,MI0022769,PMID:22955976
mmu-mir-6923,MI0022770,PMID:22955976
mmu-mir-6924,MI0022771,PMID:22955976
mmu-mir-6925,MI0022772,PMID:22955976
mmu-mir-6926,MI0022773,PMID:22955976
mmu-mir-6927,MI0022774,PMID:22955976
mmu-mir-6928,MI0022775,PMID:22955976
mmu-mir-6929,MI0022776,PMID:22955976
mmu-mir-6930,MI0022777,PMID:22955976
mmu-mir-6931,MI0022778,PMID:22955976
mmu-mir-6932,MI0022779,PMID:22955976
mmu-mir-6933,MI0022780,PMID:22955976
mmu-mir-6934,MI0022781,PMID:22955976
mmu-mir-6935,MI0022782,PMID:22955976
mmu-mir-6936,MI0022783,PMID:22955976
mmu-mir-6937,MI0022784,PMID:22955976
mmu-mir-6938,MI0022785,PMID:22955976
mmu-mir-6939,MI0022786,PMID:22955976
mmu-mir-6940,MI0022787,PMID:22955976
mmu-mir-6941,MI0022788,PMID:22955976
mmu-mir-6942,MI0022789,PMID:22955976
mmu-mir-6943,MI0022790,PMID:22955976
mmu-mir-6944,MI0022791,PMID:22955976
mmu-mir-6945,MI0022792,PMID:22955976
mmu-mir-6946,MI0022793,PMID:22955976
mmu-mir-6947,MI0022794,PMID:22955976
mmu-mir-6948,MI0022795,PMID:22955976
mmu-mir-6949,MI0022796,PMID:22955976
mmu-mir-6950,MI0022797,PMID:22955976
mmu-mir-6951,MI0022798,PMID:22955976
mmu-mir-6952,MI0022799,PMID:22955976
mmu-mir-6953,MI0022800,PMID:22955976
mmu-mir-6954,MI0022801,PMID:22955976
mmu-mir-6955,MI0022802,PMID:22955976
mmu-mir-6956,MI0022803,PMID:22955976
mmu-mir-6957,MI0022804,PMID:22955976
mmu-mir-6958,MI0022805,PMID:22955976
mmu-mir-6959,MI0022806,PMID:22955976
mmu-mir-6960,MI0022807,PMID:22955976
mmu-mir-6961,MI0022808,PMID:22955976
mmu-mir-6962,MI0022809,PMID:22955976
mmu-mir-6963,MI0022810,PMID:22955976
mmu-mir-6964,MI0022811,PMID:22955976
mmu-mir-6965,MI0022812,PMID:22955976
mmu-mir-6966,MI0022814,PMID:22955976
mmu-mir-6967-1,MI0022815,PMID:22955976
mmu-mir-6967-2,MI0031752,PMID:22955976
mmu-mir-6968,MI0022816,PMID:22955976
mmu-mir-6969,MI0022817,PMID:22955976
mmu-mir-6970,MI0022818,PMID:22955976
mmu-mir-6971,MI0022819,PMID:22955976
mmu-mir-6972,MI0022820,PMID:22955976
mmu-mir-6973a,MI0022821,PMID:22955976
mmu-mir-6973b,MI0022851,PMID:22955976
mmu-mir-6974,MI0022822,PMID:22955976
mmu-mir-6975,MI0022823,PMID:22955976
mmu-mir-6976,MI0022824,PMID:22955976
mmu-mir-6977,MI0022825,PMID:22955976
mmu-mir-6978,MI0022826,PMID:22955976
mmu-mir-6979,MI0022827,PMID:22955976
mmu-mir-6980,MI0022828,PMID:22955976
mmu-mir-6981,MI0022829,PMID:22955976
mmu-mir-6982,MI0022830,PMID:22955976
mmu-mir-6983,MI0022831,PMID:22955976
mmu-mir-6984,MI0022832,PMID:22955976
mmu-mir-6985,MI0022833,PMID:22955976
mmu-mir-6986,MI0022834,PMID:22955976
mmu-mir-6987,MI0022835,PMID:22955976
mmu-mir-6988,MI0022836,PMID:22955976
mmu-mir-6989,MI0022837,PMID:22955976
mmu-mir-6990,MI0022838,PMID:22955976
mmu-mir-6991,MI0022839,PMID:22955976
mmu-mir-6992,MI0022840,PMID:22955976
mmu-mir-6993,MI0022841,PMID:22955976
mmu-mir-6994,MI0022842,PMID:22955976
mmu-mir-6995,MI0022843,PMID:22955976
mmu-mir-6996,MI0022844,PMID:22955976
mmu-mir-6997,MI0022845,PMID:22955976
mmu-mir-6998,MI0022846,PMID:22955976
mmu-mir-6999,MI0022847,PMID:22955976
mmu-mir-7000,MI0022848,PMID:22955976
mmu-mir-7001,MI0022849,PMID:22955976
mmu-mir-7002,MI0022850,PMID:22955976
mmu-mir-7003,MI0022852,PMID:22955976
mmu-mir-7004,MI0022853,PMID:22955976
mmu-mir-7005,MI0022854,PMID:22955976
mmu-mir-7006,MI0022855,PMID:22955976
mmu-mir-7007,MI0022856,PMID:22955976
mmu-mir-7008,MI0022857,PMID:22955976
mmu-mir-7009,MI0022858,PMID:22955976
mmu-mir-7010,MI0022859,PMID:22955976
mmu-mir-7011,MI0022860,PMID:22955976
mmu-mir-7012,MI0022861,PMID:22955976
mmu-mir-7013,MI0022862,PMID:22955976
mmu-mir-7014,MI0022863,PMID:22955976
mmu-mir-7015,MI0022864,PMID:22955976
mmu-mir-7016,MI0022865,PMID:22955976
mmu-mir-7017,MI0022866,PMID:22955976
mmu-mir-7018,MI0022867,PMID:22955976
mmu-mir-7019,MI0022868,PMID:22955976
mmu-mir-7020,MI0022869,PMID:22955976
mmu-mir-7021,MI0022870,PMID:22955976
mmu-mir-7022,MI0022871,PMID:22955976
mmu-mir-7023,MI0022872,PMID:22955976
mmu-mir-7024,MI0022873,PMID:22955976
mmu-mir-7025,MI0022874,PMID:22955976
mmu-mir-7026,MI0022875,PMID:22955976
mmu-mir-7027,MI0022876,PMID:22955976
mmu-mir-7028,MI0022877,PMID:22955976
mmu-mir-7029,MI0022878,PMID:22955976
mmu-mir-7030,MI0022879,PMID:22955976
mmu-mir-7031,MI0022880,PMID:22955976
mmu-mir-7032,MI0022881,PMID:22955976
mmu-mir-7033,MI0022882,PMID:22955976
mmu-mir-7034,MI0022883,PMID:22955976
mmu-mir-7035,MI0022884,PMID:22955976
mmu-mir-7036a,MI0022885,PMID:22955976
mmu-mir-7037,MI0022886,PMID:22955976
mmu-mir-7038,MI0022887,PMID:22955976
mmu-mir-7039,MI0022888,PMID:22955976
mmu-mir-7040,MI0022889,PMID:22955976
mmu-mir-7041,MI0022890,PMID:22955976
mmu-mir-7042,MI0022891,PMID:22955976
mmu-mir-7043,MI0022892,PMID:22955976
mmu-mir-7044,MI0022893,PMID:22955976
mmu-mir-7045,MI0022894,PMID:22955976
mmu-mir-7046,MI0022895,PMID:22955976
mmu-mir-7047,MI0022896,PMID:22955976
mmu-mir-7048,MI0022897,PMID:22955976
mmu-mir-7049,MI0022898,PMID:22955976
mmu-mir-7050,MI0022899,PMID:22955976
mmu-mir-7051,MI0022900,PMID:22955976
mmu-mir-7052,MI0022901,PMID:22955976
mmu-mir-7053,MI0022902,PMID:22955976
mmu-mir-7054,MI0022903,PMID:22955976
mmu-mir-7055,MI0022904,PMID:22955976
mmu-mir-7056,MI0022905,PMID:22955976
mmu-mir-7057,MI0022906,PMID:22955976
mmu-mir-7058,MI0022907,PMID:22955976
mmu-mir-7059,MI0022908,PMID:22955976
mmu-mir-7060,MI0022909,PMID:22955976
mmu-mir-7061,MI0022910,PMID:22955976
mmu-mir-7062,MI0022911,PMID:22955976
mmu-mir-7063,MI0022912,PMID:22955976
mmu-mir-7064,MI0022913,PMID:22955976
mmu-mir-7065,MI0022914,PMID:22955976
mmu-mir-7066,MI0022915,PMID:22955976
mmu-mir-7067,MI0022916,PMID:22955976
mmu-mir-7068,MI0022918,PMID:22955976
mmu-mir-7069,MI0022919,PMID:22955976
mmu-mir-7070,MI0022920,PMID:22955976
mmu-mir-7071,MI0022921,PMID:22955976
mmu-mir-7072,MI0022922,PMID:22955976
mmu-mir-7073,MI0022923,PMID:22955976
mmu-mir-7074,MI0022924,PMID:22955976
mmu-mir-7075,MI0022925,PMID:22955976
mmu-mir-7076,MI0022926,PMID:22955976
mmu-mir-7077,MI0022927,PMID:22955976
mmu-mir-7078,MI0022928,PMID:22955976
mmu-mir-7079,MI0022929,PMID:22955976
mmu-mir-7080,MI0022930,PMID:22955976
mmu-mir-7081,MI0022931,PMID:22955976
mmu-mir-7082,MI0022932,PMID:22955976
mmu-mir-7083,MI0022933,PMID:22955976
mmu-mir-7084,MI0022934,PMID:22955976
mmu-mir-7085,MI0022935,PMID:22955976
mmu-mir-7086,MI0022936,PMID:22955976
mmu-mir-7087,MI0022937,PMID:22955976
mmu-mir-7088,MI0022938,PMID:22955976
mmu-mir-7089,MI0022939,PMID:22955976
mmu-mir-7090,MI0022940,PMID:22955976
mmu-mir-7091,MI0022941,PMID:22955976
mmu-mir-7092,MI0022942,PMID:22955976
mmu-mir-7093,MI0022943,PMID:22955976
mmu-mir-7094-1,MI0022944,PMID:22955976
mmu-mir-7094-2,MI0022945,PMID:22955976
mmu-mir-7115,MI0022966,PMID:22955976
mmu-mir-7116,MI0022967,PMID:22955976
mmu-mir-7117,MI0022968,PMID:22955976
mmu-mir-7118,MI0022969,PMID:22955976
mmu-mir-7119,MI0022970,PMID:22955976
